address,business_name,email,numbers,website
"Aba, Aba, Abia State, Nigeria","Aba South Local Government Area Aba Abia State, Nigeria",,,
"Eziama Urata, Aba, Abia State, Nigeria","Aba North Local Government Area Aba Abia State, Nigeria",,,
"62 Asa Road Aba, Aba, Nigeria",Casperjoe Media Aba Nigeria,casperjoeproduction@gmail.com,"0703 532 3038,0705 040 9050",
"52, World Bank Road, Aba, Abia State, Nigeria","Uzotex Shopping Centre Aba Abia State, Nigeria",,7038525254,
"No 39 Umule Road, Aba, Abia State, Nigeria","Ogam Express Agencies Aba Abia State, Nigeria",,0805-55163232,
"10, K Line, Ariaria International Market, Osisioma, Aba, Abia State, Nigeria","Prince & Princess Shopping Plaza Aba Abia State, Nigeria",,8036016584,
"Nothern Middle Tangent Arterial Highway, New Owerri, Owerri, Imo State, Nigeria","World Bank Market New Owerri, Owerri Imo State, Nigeria",,,
"Industrial Layout, New Owerri, Owerri, Imo State, Nigeria","Nigeria Custom Service, FOU, Zone C New Owerri, Owerri Imo State, Nigeria",,,
"No 8 Onumiri Street behind Sterling Bank, Douglas Road, Owerri, lmo Nigeria",Virtual Human Consults Owerri lmo Nigeria,vhrrecruitment100@gmail.com,0806 888 7285,
"218 Faulks Road, Aba, Abia Nigeria",Winners United Farms and Agro Ind. Ltd Aba Abia Nigeria,, 0806 082 5281,
"Jatau Street Ungwan Pama, Sabo Tasha, Kaduna South, Nigeria","Yaro Plaza Sabo Tasha Kaduna South, Nigeria",,,
"Ndidem Usang Iso Road, Calabar, Cross River Nigeria",Cross River State Water Board Calabar Cross River Nigeria,info@crswaterboard.com,"0803 317 2633,0703 894 3247,0803 380 8150",
"Okigwe Road, Beside Nigeria Prison Services, Owerri, Imo State, Nigeria","Imo Fire Service Owerri Imo State, Nigeria",,"0803 200 3557,0808 013 8999",
"Foundation Road, Along Rochas Foundation College, Umudagu Mbieri, Imo State, Nigeria","Soronara Ventures, Owerri Umudagu Mbieri Imo State, Nigeria",,"0809 147 1837,0803 791 2265,0806 741 8642",
